text,sentiment,labels
Akikan!,neutral,1
High School DxD,positive,2
Kiss x Sis (TV),positive,2
Onegai☆Twins: Natsu wa Owaranai,positive,2
Claymore,negative,0
Nodame Cantabile: Paris-hen,positive,2
Sen to Chihiro no Kamikakushi,negative,0
Tanaka-kun wa Itsumo Kedaruge,positive,2
Naruto: Shippuuden Movie 4 - The Lost Tower,negative,0
Hourou Musuko,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,positive,2
Isshuukan Friends.,positive,2
D.Gray-man,positive,2
School Rumble Ni Gakki,positive,2
Ikkitousen: Dragon Destiny Specials,neutral,1
Angel Beats! Specials,positive,2
Fairy Tail,positive,2
Inu x Boku SS,positive,2
Yuru Yuri,positive,2
Tokyo Ravens,positive,2
Samurai Champloo,positive,2
No Game No Life,positive,2
Higurashi no Naku Koro ni Kai Specials,positive,2
Dragon Ball Z Movie 15: Fukkatsu no F,positive,2
Nodame Cantabile Finale Special,negative,0
Paprika,neutral,1
Puchitto Gargantia,neutral,1
Initial D First Stage,negative,0
Inu x Boku SS,positive,2
Rokka no Yuusha,neutral,1
Sex Pistols,positive,2
Code Geass: Hangyaku no Lelouch,positive,2
Hellsing Ultimate,positive,2
Ghost in the Shell 2.0,negative,0
Bible Black,negative,0
Deadman Wonderland OVA,positive,2
Eden&#039;s Bowy,positive,2
Elfen Lied,positive,2
Clannad: After Story,positive,2
.hack//Unison,positive,2
School Rumble,negative,0
Btooom!,neutral,1
So Ra No Wo To Specials,negative,0
Shingeki no Kyojin,positive,2
Date A Live,positive,2
Nijiiro Days,positive,2
Hourou Musuko,neutral,1
Shinreigari: Ghost Hound,negative,0
Karin,negative,0
Tengen Toppa Gurren Lagann,negative,0
Sakasama no Patema,positive,2
Netoge no Yome wa Onnanoko ja Nai to Omotta?,neutral,1
Major S3,positive,2
Baka to Test to Shoukanjuu,positive,2
Trigun,neutral,1
Death Parade,positive,2
Accel World,positive,2
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,positive,2
Mahou Shoujo Madoka★Magica,positive,2
Muv-Luv Alternative: Total Eclipse,positive,2
Bakemonogatari,neutral,1
Rosario to Vampire Capu2,positive,2
Usagi Drop,positive,2
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,positive,2
Kishin Douji Zenki Gaiden: Anki Kitan,positive,2
Ouran Koukou Host Club,positive,2
Shugo Chara!,negative,0
Netoge no Yome wa Onnanoko ja Nai to Omotta?,positive,2
Girls und Panzer,positive,2
Loveless,neutral,1
Akame ga Kill!,negative,0
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,negative,0
Ghost in the Shell,positive,2
Dragon Ball Z Movie 14: Kami to Kami,positive,2
K-On!,neutral,1
Deadman Wonderland,positive,2
Sekaiichi Hatsukoi,negative,0
Sola,positive,2
Discipline,neutral,1
Shakugan no Shana S,positive,2
Tokyo Mew Mew,positive,2
Kindaichi Shounen no Jikenbo Returns 2nd Season,positive,2
Ichigo 100%,neutral,1
Noragami,positive,2
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,positive,2
Break Blade 3: Kyoujin no Ato,positive,2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,negative,0
Maken-Ki!,positive,2
Highschool of the Dead,positive,2
Aa! Megami-sama! (TV) Specials,neutral,1
Zan Sayonara Zetsubou Sensei,positive,2
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,positive,2
xxxHOLiC Movie: Manatsu no Yoru no Yume,positive,2
Ai Tenshi Densetsu Wedding Peach,positive,2
Digimon Adventure tri. 3: Kokuhaku,positive,2
Chobits,positive,2
Chobits,negative,0
Air Gear,negative,0
Kämpfer,positive,2
Zetsuen no Tempest,positive,2
Hunter x Hunter OVA,positive,2
Prison School OVA,negative,0
Gantz,negative,0
Fate/kaleid liner Prisma☆Illya,positive,2
X,neutral,1
Bleach,neutral,1
Date A Live,positive,2
Another,neutral,1
Dragon Ball GT,negative,0
Tengen Toppa Gurren Lagann Movie: Lagann-hen,positive,2
Sakurasou no Pet na Kanojo,positive,2
Steamboy,positive,2
Black★Rock Shooter (OVA),positive,2
Hitsugi no Chaika,neutral,1
Amagi Brilliant Park,neutral,1
Chobits,negative,0
Kämpfer,neutral,1
Bartender,positive,2
No.6,positive,2
One Punch Man: Road to Hero,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,positive,2
Naruto: Akaki Yotsuba no Clover wo Sagase,positive,2
One Piece: Umi no Heso no Daibouken-hen,positive,2
Akame ga Kill! Theater,neutral,1
Dantalian no Shoka,positive,2
Higashi no Eden,positive,2
Soul Eater,positive,2
Kakumeiki Valvrave,positive,2
Angel Beats!: Another Epilogue,positive,2
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,negative,0
GA: Geijutsuka Art Design Class OVA,positive,2
Final Fantasy VII: Advent Children,neutral,1
Dragon Ball Z,positive,2
Kaichou wa Maid-sama!: Omake dayo!,positive,2
C: The Money of Soul and Possibility Control,positive,2
Wolf&#039;s Rain,positive,2
Oshiete! Galko-chan,positive,2
Beelzebub Specials,positive,2
Cowboy Bebop,positive,2
Joker Game,positive,2
Tasogare Otome x Amnesia: Taima Otome,positive,2
Maken-Ki!,positive,2
Machine-Doll wa Kizutsukanai,negative,0
Z/X: Ignition,positive,2
Hourou Musuko,positive,2
Lucky☆Star: Original na Visual to Animation,positive,2
Petit Eva: Evangelion@School,positive,2
Natsu e no Tobira,positive,2
Supernatural The Animation,negative,0
Fortune Quest L,negative,0
Great Teacher Onizuka,positive,2
Senyuu. Specials,positive,2
eX-Driver,neutral,1
Macross F,neutral,1
Piano no Mori,positive,2
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,positive,2
Mai no Mahou to Katei no Hi,neutral,1
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,positive,2
Angel Beats!,positive,2
Mobile Suit Gundam Wing,positive,2
Haiyoru! Nyaruani: Remember My Love(craft-sensei),positive,2
Tengen Toppa Gurren Lagann,positive,2
Btooom!,positive,2
Speed Grapher,positive,2
Kurokami The Animation,negative,0
Another,negative,0
"Kumo no Mukou, Yakusoku no Basho",positive,2
ReLIFE,positive,2
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,positive,2
Jormungand: Perfect Order,negative,0
Tonari no Kaibutsu-kun,positive,2
Deadman Wonderland OVA,negative,0
Towa no Quon 1: Utakata no Kaben,positive,2
Amaenaide yo!!,positive,2
Kimi ga Nozomu Eien,neutral,1
Clannad,positive,2
Durarara!!,positive,2
Chrno Crusade,negative,0
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,positive,2
Shiki,positive,2
Aa! Megami-sama! (TV) Specials,positive,2
Working&#039;!!,positive,2
So Ra No Wo To Specials,positive,2
Kimagure Orange☆Road,negative,0
Shounen Kenya,negative,0
Boku no Hero Academia,positive,2
Hanasakeru Seishounen,neutral,1
Ranma ½,negative,0
Furiko,positive,2
NHK ni Youkoso!,positive,2
Clannad,positive,2
B Gata H Kei,neutral,1
Bakuman.,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Yuu☆Yuu☆Hakusho,negative,0
Senran Kagura Specials,neutral,1
Gyo,positive,2
Romeo x Juliet,positive,2
Overlord,positive,2
Seiken no Blacksmith,neutral,1
Matou Kitan Zankan!,negative,0
Toriko: Barbarian Ivy wo Hokaku Seyo!,positive,2
Sora no Otoshimono,positive,2
Fullmetal Alchemist: Premium Collection,neutral,1
Another,neutral,1
Kaze no Tani no Nausicaä,positive,2
Hajime no Ippo: Mashiba vs. Kimura,positive,2
Bayonetta: Bloody Fate,neutral,1
Bokusatsu Tenshi Dokuro-chan,negative,0
One Punch Man,positive,2
Mirai Nikki Redial,positive,2
Bakemonogatari,positive,2
Fate/stay night,negative,0
Sakurasou no Pet na Kanojo,negative,0
Another,positive,2
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,positive,2
Neon Genesis Evangelion,positive,2
Samurai Champloo,neutral,1
Busou Renkin,positive,2
Ikkitousen: Xtreme Xecutor,negative,0
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,positive,2
Shokugeki no Souma,positive,2
Zero no Tsukaima,positive,2
Tsubasa Chronicle 2nd Season,positive,2
Dragon Ball GT,positive,2
Cobra The Animation: Time Drive,negative,0
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",negative,0
Macross 7 Movie: Ginga ga Ore wo Yondeiru!,neutral,1
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,negative,0
Break Blade 1: Kakusei no Toki,positive,2
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,positive,2
Jinrui wa Suitai Shimashita,positive,2
Elf no Wakaokusama,negative,0
NHK ni Youkoso!,positive,2
Green Green,positive,2
Gekkan Shoujo Nozaki-kun,negative,0
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,positive,2
Cowboy Bebop,positive,2
Evangelion: 2.0 You Can (Not) Advance,positive,2
Chrno Crusade,positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Gekkan Shoujo Nozaki-kun,positive,2
Arakawa Under the Bridge,positive,2
One Piece: Yume no Soccer Ou!,positive,2
To LOVE-Ru,positive,2
Sukitte Ii na yo.,positive,2
Toaru Kagaku no Railgun S,positive,2
Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,negative,0
Black Lagoon,positive,2
Full Metal Panic!,positive,2
Hijikata Toshizou: Shiro no Kiseki,negative,0
Full Metal Panic! The Second Raid,positive,2
Ranma ½,negative,0
Higurashi no Naku Koro ni,positive,2
Planetarian: Chiisana Hoshi no Yume,positive,2
"Yondemasu yo, Azazel-san. (TV)",positive,2
Hajime no Ippo: New Challenger,positive,2
Code Geass: Hangyaku no Lelouch Picture Drama,negative,0
Digimon Adventure Movie,positive,2
Durarara!!,positive,2
Nisemonogatari,positive,2
Owari no Seraph: Nagoya Kessen-hen,negative,0
Magic Knight Rayearth II,positive,2
Kara no Kyoukai 3: Tsuukaku Zanryuu,negative,0
Non Non Biyori,positive,2
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!,positive,2
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,neutral,1
Sora no Manimani,positive,2
Goshuushou-sama Ninomiya-kun,positive,2
Eureka Seven,positive,2
Cowboy Bebop,negative,0
Kara no Kyoukai 1: Fukan Fuukei,negative,0
Chrno Crusade,positive,2
Blue Drop: Tenshi-tachi no Gikyoku,positive,2
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,positive,2
Kara no Kyoukai 1: Fukan Fuukei,positive,2
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,negative,0
Final Fantasy VII: Advent Children,neutral,1
Mahou Sensou,positive,2
Evangelion: 2.0 You Can (Not) Advance,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Ga-Rei: Zero,positive,2
Monogatari Series: Second Season,positive,2
Chobits,neutral,1
Ao no Exorcist,positive,2
Sola Specials,positive,2
Boku wa Imouto ni Koi wo Suru,negative,0
K-On!: Live House!,positive,2
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",positive,2
Fate/Zero,positive,2
Evangelion: 3.0 You Can (Not) Redo,positive,2
Yume-iro Pâtissière: Mune Kyun Tropical Island!,neutral,1
Zetsuen no Tempest,positive,2
Bonjour♪Koiaji Pâtisserie,neutral,1
Gantz,positive,2
Katekyo Hitman Reborn! Special,positive,2
Darker than Black: Kuro no Keiyakusha,positive,2
Hoozuki no Reitetsu,positive,2
Kuroko no Basket 2nd Season,positive,2
Black★Rock Shooter (OVA),positive,2
High School DxD Specials,positive,2
Goku Sayonara Zetsubou Sensei,positive,2
Jormungand: Perfect Order,negative,0
Saint Seiya: The Lost Canvas - Meiou Shinwa,positive,2
Mahou Shoujo Madoka★Magica,positive,2
Redline,negative,0
Cross Game,positive,2
Mirai Nikki (TV): Ura Mirai Nikki,negative,0
Dragon Ball GT,positive,2
Devil May Cry,positive,2
Koisuru Boukun,neutral,1
Shingeki no Kyojin,positive,2
Ben-To,neutral,1
Cowboy Bebop,positive,2
Kimi ga Nozomu Eien,positive,2
Yu☆Gi☆Oh!: Hikari no Pyramid,positive,2
Bakemono no Ko,positive,2
Aoi Bungaku Series,positive,2
Kuroko no Basket 3rd Season,positive,2
Lucky☆Star: Original na Visual to Animation,positive,2
Akagami no Shirayuki-hime 2nd Season,negative,0
Mobile Suit Gundam Seed,positive,2
Naruto: Shippuuden Movie 6 - Road to Ninja,negative,0
Fruits Basket,positive,2
Kuroshitsuji II,positive,2
Kami nomi zo Shiru Sekai: Tenri-hen,positive,2
Tengen Toppa Gurren Lagann: Kirameki★Yoko Box - Pieces of Sweet Stars,positive,2
Medarot,positive,2
Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen,positive,2
Sukitte Ii na yo.,positive,2
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,negative,0
"Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.",positive,2
Yu☆Gi☆Oh! 5D&#039;s,neutral,1
Gakuen Alice,positive,2
Dareka no Manazashi,positive,2
Boku dake ga Inai Machi,positive,2
Bokura wa Minna Kawaisou,positive,2
Afro Samurai,neutral,1
Vampire Knight,positive,2
Erementar Gerad,negative,0
Another,positive,2
Byousoku 5 Centimeter,positive,2
Bleach Movie 4: Jigoku-hen,positive,2
Fullmetal Alchemist: The Conqueror of Shamballa,positive,2
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,neutral,1
Ojisan to Marshmallow,neutral,1
ef: A Tale of Memories.,positive,2
Danshi Koukousei no Nichijou,negative,0
Asura Cryin&#039;,negative,0
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,positive,2
Air Gear,positive,2
Tengen Toppa Gurren Lagann,positive,2
Suisei no Gargantia,positive,2
Toradora!,positive,2
Netoge no Yome wa Onnanoko ja Nai to Omotta?,positive,2
Kyou no 5 no 2 Kagai Jugyou: Mizukake,positive,2
Sword Art Online II,positive,2
Outbreak Company,positive,2
Sword Art Online,negative,0
Code Geass: Hangyaku no Lelouch R2,positive,2
Bleach,positive,2
Papa no Iukoto wo Kikinasai!,positive,2
Hoshizora e Kakaru Hashi,positive,2
Mousou Dairinin,neutral,1
Buddy Complex,positive,2
Akame ga Kill!,positive,2
Seirei Tsukai no Blade Dance,negative,0
Death Parade,positive,2
Shuffle!,positive,2
Chobits,positive,2
To LOVE-Ru OVA,negative,0
Monster,negative,0
Suzumiya Haruhi no Yuuutsu (2009),negative,0
Koihime†Musou,positive,2
Mirai Nikki Redial,negative,0
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",neutral,1
.hack//Sign,neutral,1
Gyakkyou Burai Kaiji: Hakairoku-hen,negative,0
Bleach,positive,2
Eightman After,positive,2
Green Green,positive,2
Hai to Gensou no Grimgar,positive,2
Roujin Z,positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Captain Tsubasa,positive,2
Monster Musume no Iru Nichijou,positive,2
Nisekoi,negative,0
Nurarihyon no Mago: Sennen Makyou,positive,2
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,negative,0
Clannad: After Story,positive,2
Tenchi Muyou! Ryououki,positive,2
Steins;Gate,positive,2
Pokemon: Pika Pika Hoshizora Camp,positive,2
Higurashi no Naku Koro ni,positive,2
Angel&#039;s Feather,neutral,1
Sora no Otoshimono: Forte,negative,0
Tokyo Magnitude 8.0,positive,2
Gokusen,positive,2
Seiken no Blacksmith,negative,0
Itsuka Tenma no Kuro Usagi,positive,2
Togainu no Chi,neutral,1
Mirai Nikki Redial,positive,2
Guilty Crown,positive,2
Working!!,positive,2
Hunter x Hunter OVA,positive,2
Carnival Phantasm EX Season,positive,2
Suzumiya Haruhi no Yuuutsu,positive,2
Little Busters!: Refrain,neutral,1
Trigun,positive,2
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,positive,2
Mononoke Hime,positive,2
Mekakucity Actors,neutral,1
Sayonara Zetsubou Sensei,positive,2
Macademi Wasshoi!,neutral,1
Harem Time The Animation,positive,2
One Piece Film: Strong World Episode 0,negative,0
Denpa-teki na Kanojo,neutral,1
Generator Gawl,negative,0
Tengen Toppa Gurren Lagann Movie: Lagann-hen,positive,2
Chuunibyou demo Koi ga Shitai!,negative,0
Accel World,positive,2
Magikano,neutral,1
One Outs,positive,2
Gokukoku no Brynhildr,positive,2
Another: The Other - Inga,negative,0
Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,neutral,1
Angel Beats!,negative,0
Hunter x Hunter,positive,2
Bakemonogatari,positive,2
Black Lagoon,positive,2
Lucky☆Star: Original na Visual to Animation,negative,0
Lovely★Complex,positive,2
Fate/stay night,positive,2
Log Horizon,positive,2
Kogepan,positive,2
Ao no Exorcist,positive,2
Beck,positive,2
Naruto,negative,0
Binbougami ga!,negative,0
Lucky☆Star,negative,0
PetoPeto-san,positive,2
Haikyuu!!,negative,0
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,positive,2
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,positive,2
Amagami SS,positive,2
C: The Money of Soul and Possibility Control,positive,2
High School DxD,positive,2
Hyakko,positive,2
Majo no Takkyuubin,negative,0
Hyakko,positive,2
No.6,positive,2
Kore wa Zombie Desu ka?,negative,0
Juubee Ninpuuchou,positive,2
Eureka Seven,neutral,1
Code Geass: Hangyaku no Lelouch,positive,2
Shokugeki no Souma: Ni no Sara,positive,2
Date A Live,positive,2
Sword Art Online,negative,0
Chobits Recap,negative,0
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,negative,0
Mobile Suit Gundam 00 Second Season,negative,0
Suzumiya Haruhi no Shoushitsu,positive,2
Dragon Ball,neutral,1
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,negative,0
Chobits,positive,2
Gantz 2nd Stage,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
Highschool of the Dead,positive,2
Mermaid&#039;s Scar,negative,0
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",positive,2
Kite Liberator,negative,0
Kimi ni Todoke,negative,0
Overlord: Ple Ple Pleiades,positive,2
Toradora!,negative,0
Maken-Ki!,negative,0
InuYasha: Tenka Hadou no Ken,positive,2
Sword Art Online,positive,2
Shakugan no Shana,positive,2
Ao no Exorcist Movie,neutral,1
Amaenaide yo!! Katsu!!,positive,2
Kamisama no Inai Nichiyoubi,neutral,1
B Gata H Kei,positive,2
Major S4,negative,0
Evangelion: 2.0 You Can (Not) Advance,positive,2
Natsume Yuujinchou San,positive,2
Kurozuka,negative,0
Le Chevalier D&#039;Eon,neutral,1
Kara no Kyoukai 4: Garan no Dou,positive,2
Bleach Movie 1: Memories of Nobody,neutral,1
Choujikuu Kidan Southern Cross,positive,2
Boku wa Tomodachi ga Sukunai Next,neutral,1
Midori no Hibi,positive,2
Maken-Ki! OVA,neutral,1
Dragon Ball Z,positive,2
Black Bullet,positive,2
Subete ga F ni Naru: The Perfect Insider,positive,2
Tiger &amp; Bunny,positive,2
The iDOLM@STER: 765 Pro to Iu Monogatari,positive,2
Kekkai Sensen,positive,2
Toki wo Kakeru Shoujo,positive,2
Natsume Yuujinchou,positive,2
Baka to Test to Shoukanjuu Ni!,positive,2
C³,positive,2
Rurouni Kenshin: Meiji Kenkaku Romantan,positive,2
Owari no Seraph,positive,2
Black Lagoon: The Second Barrage,neutral,1
Karas,positive,2
Fullmetal Alchemist: The Sacred Star of Milos,positive,2
Fullmetal Alchemist: Brotherhood,positive,2
Gangsta. Recap,negative,0
Wonderful Rush,negative,0
Show By Rock!!,neutral,1
One Piece Film: Strong World Episode 0,positive,2
Mimi wo Sumaseba,negative,0
Saint Seiya Omega,negative,0
Death Parade,positive,2
Mahou Sensei Negima!,positive,2
Final Fantasy VII: Advent Children Complete,positive,2
Shikabane Hime: Kuro Special,positive,2
C³,positive,2
Gunnm,negative,0
Death Note,positive,2
Bakuon!!,positive,2
Koi to Senkyo to Chocolate,positive,2
Darker than Black: Ryuusei no Gemini,neutral,1
Hentai Ouji to Warawanai Neko.,positive,2
Pokemon: The Origin,positive,2
Kiznaiver,positive,2
Mushishi Zoku Shou,positive,2
Nekomonogatari: Kuro,positive,2
Gosick,positive,2
Kamisama Hajimemashita,positive,2
Final Fantasy VII: Last Order,positive,2
"Kumo no Mukou, Yakusoku no Basho",positive,2
Kono Minikuku mo Utsukushii Sekai,positive,2
Gunslinger Stratos: The Animation,neutral,1
Ouran Koukou Host Club,positive,2
Dragon Ball Z,positive,2
Seirei Tsukai no Blade Dance,negative,0
One Piece: Episode of Luffy - Hand Island no Bouken,neutral,1
Fullmetal Alchemist: The Conqueror of Shamballa,positive,2
Hai to Gensou no Grimgar,positive,2
Tenjou Tenge,negative,0
Howl no Ugoku Shiro,positive,2
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,neutral,1
Seikon no Qwaser,positive,2
D.Gray-man,positive,2
FLCL,positive,2
Ao no Exorcist,positive,2
Dance in the Vampire Bund,positive,2
Kimi ni Todoke,negative,0
Working&#039;!!,positive,2
Zero no Tsukaima: Princesses no Rondo,positive,2
Saki,positive,2
Recorder to Randoseru Mi☆,negative,0
Spirit of Wonder: China-san Tanpenshuu,neutral,1
Naruto: Shippuuden Movie 4 - The Lost Tower,positive,2
Gake no Ue no Ponyo,negative,0
IGPX: Immortal Grand Prix (2005) 2nd Season,positive,2
Yu☆Gi☆Oh!: Duel Monsters GX,negative,0
Death Note,negative,0
Kamen no Maid Guy,positive,2
Gakkou no Kaidan,positive,2
Detective Conan Movie 02: The Fourteenth Target,negative,0
Tokyo Ghoul √A,positive,2
Fractale,negative,0
Gintama&#039;: Enchousen,positive,2
Kekkai Sensen,positive,2
Detroit Metal City,positive,2
Tsubasa Chronicle,positive,2
Azumanga Daioh,positive,2
Ghost in the Shell: Stand Alone Complex - Solid State Society,neutral,1
Hataraku Maou-sama!,positive,2
Noir,negative,0
Mayo Chiki!,positive,2
Kami nomi zo Shiru Sekai: Megami-hen,positive,2
Hunter x Hunter (2011),positive,2
"Kono Danshi, Uchuujin to Tatakaemasu.",negative,0
Bakuretsu Tenshi: Infinity Specials,positive,2
Gantz,positive,2
Hundred,positive,2
Initial D Fourth Stage,positive,2
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",positive,2
One Piece Film: Strong World,positive,2
Kuroko no Basket: Tip Off,negative,0
Toradora!,positive,2
Kamisama no Inai Nichiyoubi,positive,2
Romeo x Juliet,positive,2
Tiger &amp; Bunny,positive,2
Kuroko no Basket,negative,0
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,positive,2
Code Geass: Hangyaku no Lelouch R2,positive,2
FLCL,positive,2
NHK ni Youkoso!,positive,2
K,positive,2
Mangaka-san to Assistant-san to The Animation,negative,0
Ichigo Mashimaro,positive,2
Jormungand,positive,2
Cross Ange: Tenshi to Ryuu no Rondo,positive,2
Fate/stay night: Unlimited Blade Works 2nd Season,positive,2
Densetsu no Yuusha no Densetsu,positive,2
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,positive,2
Claymore,positive,2
Densetsu no Yuusha no Densetsu,positive,2
Love Hina,neutral,1
Onegai☆Twins,negative,0
Omamori Himari,positive,2
Dantalian no Shoka,neutral,1
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,negative,0
Claymore,positive,2
Black★Rock Shooter (TV),negative,0
Aldnoah.Zero,negative,0
Michiko to Hatchin,positive,2
Working&#039;!!,positive,2
Tokyo Ghoul,neutral,1
Bokusatsu Tenshi Dokuro-chan,negative,0
Ginga Kikoutai Majestic Prince,negative,0
Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,positive,2
Hagure Yuusha no Aesthetica,positive,2
Sora no Otoshimono: Project Pink,neutral,1
Dragon Ball Z,neutral,1
Working!!!,positive,2
Tenkuu no Shiro Laputa,positive,2
Gosick,positive,2
Kaze no Stigma,negative,0
Aria The Animation,positive,2
Comic Party,negative,0
Suzumiya Haruhi no Yuuutsu (2009),positive,2
Lucky☆Star,positive,2
Kuroshitsuji: Book of Murder,positive,2
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,positive,2
Amnesia,negative,0
Gundam: G no Reconguista,negative,0
Tenshi na Konamaiki,positive,2
Haikyuu!!,positive,2
Nanaka 6/17,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,positive,2
Elfen Lied,neutral,1
Darker than Black: Kuro no Keiyakusha Special,positive,2
Lucky☆Star,positive,2
Detective Conan Movie 08: Magician of the Silver Sky,positive,2
ef: A Tale of Melodies.,positive,2
Moyashimon Returns,positive,2
Aldnoah.Zero 2nd Season,neutral,1
Sword Art Online,positive,2
Reikenzan: Hoshikuzu-tachi no Utage,negative,0
Bokura wa Minna Kawaisou,negative,0
Hotarubi no Mori e,positive,2
Initial D Fourth Stage,negative,0
Free!: Eternal Summer,negative,0
Glasslip,positive,2
Higurashi no Naku Koro ni Kai,positive,2
Baby Princess 3D Paradise 0 [Love],negative,0
Grisaia no Meikyuu: Caprice no Mayu 0,negative,0
School Rumble,positive,2
Tanaka-kun wa Itsumo Kedaruge,positive,2
Acchi Kocchi (TV),negative,0
Megami Kouhosei,negative,0
Ookami to Koushinryou,positive,2
Uchouten Kazoku,positive,2
Yousei Florence,positive,2
Slayers,positive,2
One Punch Man,positive,2
Fullmetal Alchemist,positive,2
Mirai Shounen Conan,positive,2
Karin,neutral,1
Highschool of the Dead,neutral,1
Neon Genesis Evangelion,positive,2
Break Blade 6: Doukoku no Toride,negative,0
Soul Eater,positive,2
Ai no Kusabi (2012),neutral,1
Anime Tenchou,negative,0
Toki wo Kakeru Shoujo,positive,2
Samurai 7,positive,2
I&#039;&#039;s Pure,positive,2
Kimi ni Todoke,positive,2
Fuujin Monogatari,neutral,1
Tegamibachi,positive,2
Aldnoah.Zero 2nd Season,neutral,1
Sora no Otoshimono: Project Pink,positive,2
Toradora!: Bentou no Gokui,positive,2
Monogatari Series: Second Season,negative,0
Wild Adapter,neutral,1
Sword Art Online,positive,2
Ore no Imouto ga Konnani Kawaii Wake ga Nai,negative,0
"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai",neutral,1
One Piece Film: Strong World Episode 0,negative,0
Tokyo Ghoul √A,positive,2
Sennen Joyuu,neutral,1
Free!: Eternal Summer,positive,2
Fate/Zero,positive,2
Mobile Suit Gundam Seed,positive,2
Loveless,neutral,1
Baka to Test to Shoukanjuu,positive,2
Sword Art Online,positive,2
Tsukuyomi: Moon Phase Special,positive,2
High School DxD BorN,negative,0
Haiyore! Nyaruko-san,positive,2
Toradora! OVA,neutral,1
Yojouhan Shinwa Taikei,positive,2
Sousei no Aquarion,positive,2
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie,positive,2
Servant x Service,positive,2
Blood+,positive,2
Higurashi no Naku Koro ni,positive,2
Shaman King,negative,0
Strike Witches Movie,negative,0
Fairy Tail x Rave,neutral,1
Mobile Suit Gundam 0080: War in the Pocket,positive,2
Mirai Nikki (TV),positive,2
Negima!? Natsu Special!?,positive,2
Hanbun no Tsuki ga Noboru Sora,positive,2
Rozen Maiden,positive,2
Yu☆Gi☆Oh!: Hikari no Pyramid,negative,0
Tayutama: Kiss on My Deity,positive,2
Tokyo ESP,negative,0
InuYasha,positive,2
Ouran Koukou Host Club,neutral,1
Yamada-kun to 7-nin no Majo (TV),positive,2
Hidan no Aria,positive,2
Dance in the Vampire Bund,positive,2
